Division,National Section ID,Section Number,National Subsection ID,Subsection Number,National Article Title,National Sentence Number,National Sentence Text
A,ep001032.1,1.1,ep001032.1.1,1.1.1,Application of this Code,es000101,"Except as provided in es000110, this Code applies to the design, construction and occupancy of all new buildings, and the alteration, reconstruction, demolition, removal, relocation and occupancy of all existing buildings. (See en001217.)"
A,ep001032.1,1.1,ep001032.1.1,1.1.1,Application of this Code,es000109,"Except as provided in es000110, this Code applies to both site-built and factory-constructed buildings. (See en000009.)"
A,ep001032.1,1.1,ep001032.1.1,1.1.1,Application of this Code,es000110,"Farm buildings not more than 3 storeys in building height and not more than 600 m² in building area used for major occupancies classified as Group G, Division 1, 2, or 3 agricultural occupancies shall conform to the requirements of the nrcc38732."
A,ep001032.2,1.2,ep001032.2.1,1.2.1,Compliance with this Code,es007221,"Compliance with this Code shall be achieved by complying with the applicable acceptable solutions in Division B (see en001226), or using alternative solutions that will achieve at least the minimum level of performance required by Division B in the areas defined by the objectives and functional statements attributed to the applicable acceptable solutions (see en001216)."
A,ep001032.2,1.2,ep001032.2.1,1.2.1,Compliance with this Code,es007222,"For the purposes of compliance with this Code as required in es007221b, the objectives and functional statements attributed to the acceptable solutions in Division B shall be the objectives and functional statements referred to in ep001021.1.2."
A,ep001032.2,1.2,ep001032.2.2,1.2.2,"Characteristics of Materials, Appliances, Systems and Equipment",es000133,"All materials, appliances, systems and equipment installed to meet the requirements of this Code shall possess the necessary characteristics to perform their intended functions when installed in a building."
A,ep001032.2,1.2,ep001032.2.2,1.2.2,Storage on the Building Site,es000134,"All building materials, appliances and equipment on the building site shall be stored in such a way as to prevent the deterioration or impairment of their essential properties."
A,ep001032.2,1.2,ep001032.2.2,1.2.2,"Used Materials, Appliances and Equipment",es000135,"Unless otherwise specified, used materials, appliances and equipment are permitted to be reused when they meet the requirements of this Code for new materials and are satisfactory for the intended use."
A,ep001032.3,1.3,ep001032.3.1,1.3.1,Scope of Division A,es007252,"Division A contains the compliance and application provisions, objectives and functional statements of this Code."
A,ep001032.3,1.3,ep001032.3.1,1.3.1,Scope of Division B,es007253,Division B contains the acceptable solutions of this Code.
A,ep001032.3,1.3,ep001032.3.1,1.3.1,Scope of Division C,es007254,Division C contains the administrative provisions of this Code.
A,ep001032.3,1.3,ep001032.3.1,1.3.1,Internal Cross-references,es007255,"Where the Division of a referenced provision is not specified in this Code, it shall mean that the referenced provision is in the same Division as the referencing provision."
A,ep001032.3,1.3,ep001032.3.2,1.3.2,"Application of Parts 1, 2 and 3",es007223,"Parts 1, 2 and 3 of Division A apply to all buildings covered in this Code. (See ea004131)"
A,ep001032.3,1.3,ep001032.3.3,1.3.3,"Application of Parts 1, 7 and 8",es007224,"Parts 1, 7 and 8 of Division B apply to all buildings covered in this Code. (See ea004131)"
A,ep001032.3,1.3,ep001032.3.3,1.3.3,"Application of Parts 3, 4, 5 and 6",es007225,"Parts 3, 4, 5, and 6 of Division B apply to all buildings described in ea004131 and classified as post-disaster buildings, used for major occupancies classified as Group A, assembly occupancies, Group B, care, treatment or detention occupancies, or Group F, Division 1, high-hazard industrial occupancies, or exceeding 600 m2 in building area or exceeding 3 storeys in building height used for major occupancies classified as Group C, residential occupancies, Group D, business and personal services occupancies, Group E, mercantile occupancies, or Group F, Divisions 2 and 3, medium- and low-hazard industrial occupancies."
A,ep001032.3,1.3,ep001032.3.3,1.3.3,Application of Part 9,es007226,"Part 9 of Division B applies to all buildings described in ea004131 of 3 storeys or less in building height, having a building area not exceeding 600 m2, and used for major occupancies classified as Group B, Division 4, home-type care occupancies, Group C, residential occupancies (see en000253), Group D, business and personal services occupancies, Group E, mercantile occupancies, or Group F, Divisions 2 and 3, medium- and low-hazard industrial occupancies."
A,ep001032.3,1.3,ep001032.3.3,1.3.3,Building Size Determination,es000111,"Where a firewall divides a building, each portion of the building so divided shall be considered as a separate building, except when this requirement is specifically modified in other parts of this Code. (See en001228.)"
A,ep001032.3,1.3,ep001032.3.3,1.3.3,Building Size Determination,es000112,"Except as permitted in es000113, where portions of a building are completely separated by a vertical fire separation that has a fire-resistance rating of not less than 1 h and extends through all storeys and service spaces of the separated portions, each separated portion is permitted to be considered as a separate building for the purpose of determining building height, provided each separated portion is not more than 4 storeys in building height and is used only for assembly, residential, and business and personal services occupancies, and the unobstructed path of travel for a firefighter from the nearest street to one entrance of each separated portion is not more than 45 m. (See en001231.)"
A,ep001032.3,1.3,ep001032.3.3,1.3.3,Building Size Determination,es000113,The vertical fire separation referred to in es000112 may terminate at the floor assembly immediately above a basement provided the basement conforms to ea000247.
A,ep001032.3,1.3,ep001032.3.3,1.3.3,Application of Part 2,es013640,"Part 2 of Division B applies to all buildings that are more than 600 m2 in building area or more than 3 storeys in building height used for major occupancies classified as Group G, Division 1, 2 or 3 agricultural occupancies, or used for major occupancies classified as Group G, Division 4, agricultural occupancies with no human occupants."
A,ep001032.3,1.3,ep001032.3.3,1.3.3,Classification of Buildings Containing Agricultural Occupancies,es013641,"Buildings or parts of buildings containing an agricultural occupancy that has an occupant load of not more than one person per 40 m2 shall be classified according to their major occupancy as belonging to Group G, Division 1, 2, 3 or 4."
A,ep001032.3,1.3,ep001032.3.3,1.3.3,Classification of Buildings Containing Agricultural Occupancies,es013642,Buildings or parts of buildings containing an agricultural occupancy that has an occupant load of more than one person per 40 m2 shall be classified according to their major occupancy as belonging to one of the Groups and Divisions listed in et000114.
A,ep001032.3,1.3,ep001032.3.3,1.3.3,Classification of Buildings Containing Agricultural Occupancies,es013643,"For the purposes of Sentences es013641 and es013642, the occupant load shall be determined based on the floor area or the part of the floor area that contains the agricultural occupancy."
A,ep001032.3,1.3,ep001032.3.3,1.3.3,Classification of Buildings Containing Agricultural Occupancies,es013644,A building intended for use by more than one major occupancy shall be classified according to all the major occupancies for which it is used or intended to be used.
A,ep001032.3,1.3,ep001032.3.4,1.3.4,Application of Parts 1 and 2,es007227,Parts 1 and 2 of Division C apply to all buildings covered in this Code. (See ea004131)
A,ep001032.4,1.4,ep001032.4.1,1.4.1,Non-defined Terms,es007228,"Words and phrases used in this Code that are not included in the list of definitions in ea004484 shall have the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies."
A,ep001032.4,1.4,ep001032.4.1,1.4.1,Non-defined Terms,es007260,"Where objectives and functional statements are referred to in this Code, they shall be the objectives and functional statements described in Parts 2 and 3."
A,ep001032.4,1.4,ep001032.4.1,1.4.1,Non-defined Terms,es007229,"Where acceptable solutions are referred to in this Code, they shall be the provisions stated in Parts 2 to 9 of Division B."
A,ep001032.4,1.4,ep001032.4.1,1.4.1,Non-defined Terms,es007230,"Where alternative solutions are referred to in this Code, they shall be the alternative solutions mentioned in es007221b."
